"billing_point_name","billing_point_code","city_code","period","payment_total_kwh","payment_amount","payment_days","external_yoy_ratio","external_mom_ratio","external_rated_ratio","system_audit_status","system_over_limit_type","system_current_daily","system_yoy_result","system_yoy_ratio","system_yoy_threshold","system_yoy_reference_period","system_yoy_c","system_yoy_a","system_yoy_b","yoy_reference_benchmark_first_day","yoy_candidate_ratio_reference_first_day","system_yoy_k","system_mom_result","system_mom_ratio","system_mom_threshold","system_mom_reference_period","system_mom_c","system_mom_a","system_mom_b","mom_reference_benchmark_first_day","mom_candidate_ratio_reference_first_day","system_mom_k","system_rated_result","system_rated_ratio","system_rated_threshold","external_yoy_result","external_mom_result","external_rated_result","yoy_compare","yoy_ratio_diff","mom_compare","mom_ratio_diff","rated_compare","rated_ratio_diff","difference_reason_candidate"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2026-02","2394.705305","1685.350000","28","NULL","NULL","NULL","NORMAL","NONE","85.530000","NORMAL","0.000000","107.980000","2025-02","89.980000","130.597714","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","107.870000","2026-01","87.549176","130.597714","127.195200","130.752000","NULL","1.026750","NORMAL","0.000000","3656.736000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2026-03","2598.970353","1734.800000","31","NULL","NULL","NULL","NORMAL","NONE","83.840000","NORMAL","0.000000","105.640000","2025-03","88.032903","126.571355","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","102.630000","2026-02","85.525189","126.571355","130.597714","130.320000","NULL","1.000000","NORMAL","0.000000","3923.712000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2026-04","2536.405300","1648.420000","30","NULL","NULL","NULL","NORMAL","NONE","84.550000","NORMAL","0.000000","104.410000","2025-04","87.008333","116.352000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","100.610000","2026-03","83.837753","116.352000","126.571355","130.752000","NULL","1.000000","NORMAL","0.000000","3490.560000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2026-05","2694.866945","1777.690000","31","NULL","NULL","NULL","NORMAL","NONE","86.930000","NORMAL","0.000000","106.890000","2025-05","89.074194","116.352000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","101.460000","2026-04","84.546843","116.352000","116.352000","116.352000","NULL","1.000000","NORMAL","0.000000","3606.912000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"巨腾药业","ZDBZD-JS-2020-014387","321200","2026-06","2513.040000","1685.030000","30","NULL","NULL","NULL","NORMAL","NONE","83.770000","NORMAL","0.000000","112.270000","2025-06","93.557333","116.352000","130.752000","130.752000","NULL","1.000000","NORMAL","0.000000","104.320000","2026-05","86.931192","116.352000","116.352000","116.352000","NULL","1.000000","NORMAL","0.000000","3490.560000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"江神化工铁塔资源点","ZDBZD-JS-2019-014558","321200","2024-01","3307.190000","2447.330000","31","NULL","NULL","NULL","NORMAL","NONE","106.680000","NA","NULL","NULL","2023-01","97.748065","230.472000","NULL","NULL","NULL","NULL","NA","NULL","NULL","2023-12","97.600968","230.472000","NULL","NULL","NULL","NULL","NORMAL","0.000000","7144.632000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"江神化工铁塔资源点","ZDBZD-JS-2019-014558","321200","2024-02","3088.980000","2322.910000","29","NULL","NULL","NULL","NORMAL","NONE","106.520000","NA","NULL","NULL","2023-02","98.640000","236.532000","NULL","NULL","NULL","NULL","NORMAL","0.000000","131.390000","2024-01","106.683548","236.532000","230.472000","230.472000","NULL","1.026294","NORMAL","0.000000","6859.428000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"江神化工铁塔资源点","ZDBZD-JS-2019-014558","321200","2024-03","3339.530000","2611.510000","31","NULL","NULL","NULL","NORMAL","NONE","107.730000","NA","NULL","NULL","2023-03","102.771290","237.912000","NULL","NULL","NULL","NULL","NORMAL","0.000000","128.570000","2024-02","106.516552","237.912000","236.532000","236.532000","NULL","1.005834","NORMAL","0.000000","7375.272000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"江神化工铁塔资源点","ZDBZD-JS-2019-014558","321200","2024-04","3294.016445","2559.450000","30","NULL","NULL","NULL","NORMAL","NONE","109.800000","NA","NULL","NULL","2023-04","106.965667","241.278400","NULL","NULL","NULL","NULL","NORMAL","0.000000","131.100000","2024-03","107.726774","241.278400","237.912000","237.912000","NULL","1.014150","NORMAL","0.000000","7238.352000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
"江神化工铁塔资源点","ZDBZD-JS-2019-014558","321200","2024-05","3746.540000","2848.600000","31","NULL","NULL","NULL","NORMAL","NONE","120.860000","NA","NULL","NULL","2023-05","111.905161","243.577548","NULL","NULL","NULL","NULL","NORMAL","0.000000","133.020000","2024-04","109.800548","243.577548","241.278400","240.012000","NULL","1.009529","NORMAL","0.000000","7550.904000","NORMAL","NORMAL","NORMAL","MATCH","0.000000","MATCH","0.000000","MATCH","0.000000","一致"
