报账点编码,报账点名称,报账点状态,地市,区县,年份,月份,月总标杆,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ZDBZD-JS-2019-023229,泰州乌巾走廊资源点,启用,泰州,兴化市,2026,5,3436.784,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864,110.864
ZDBZD-JS-2019-023229,泰州乌巾走廊资源点,启用,泰州,兴化市,2026,6,3574.245,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,119.1415,,
ZDBZD-JS-2019-023229,泰州乌巾走廊资源点,启用,泰州,兴化市,2026,7,3937.992,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032,127.032
ZDBZD-JS-2019-024888,泰州兴化市徐扬南铁塔资源点,启用,泰州,兴化市,2026,1,3721.3392,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,123.672,114.6,114.6,128.28,85.08,85.08,114.6,114.6,
ZDBZD-JS-2019-024888,泰州兴化市徐扬南铁塔资源点,启用,泰州,兴化市,2026,2,3384.96,120.66,120.66,120.66,120.66,120.66,120.66,120.66,120.66,120.66,120.66,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,121.02,,,
ZDBZD-JS-2019-024888,泰州兴化市徐扬南铁塔资源点,启用,泰州,兴化市,2026,3,3794.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4,122.4
ZDBZD-JS-2019-024888,泰州兴化市徐扬南铁塔资源点,启用,泰州,兴化市,2026,4,3735,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,124.5,
ZDBZD-JS-2019-024888,泰州兴化市徐扬南铁塔资源点,启用,泰州,兴化市,2026,5,3932.04,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84,126.84
ZDBZD-JS-2019-024888,泰州兴化市徐扬南铁塔资源点,启用,泰州,兴化市,2026,6,4151.7,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,138.39,,
ZDBZD-JS-2019-024888,泰州兴化市徐扬南铁塔资源点,启用,泰州,兴化市,2026,7,4625.448,149.4,149.4,149.4,146.52,146.52,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4,149.4
